participant_id,onset,duration,sample,trial_type,stim_file,value,N170
sub-004_task-N170_eeg,8.6152,0.3000,8823,stimulus,NA,39,5.4519
sub-004_task-N170_eeg,11.5977,0.3000,11877,stimulus,NA,28,5.8610
sub-004_task-N170_eeg,14.7295,0.3000,15084,stimulus,NA,79,-5.6274
sub-004_task-N170_eeg,17.7451,0.3000,18172,stimulus,NA,21,1.9521
sub-004_task-N170_eeg,20.7939,0.3000,21294,stimulus,NA,76,2.8141
sub-004_task-N170_eeg,23.8096,0.3000,24382,stimulus,NA,8,1.6845
sub-004_task-N170_eeg,25.2930,0.3000,25901,stimulus,NA,36,-15.3268
sub-004_task-N170_eeg,26.8418,0.3000,27487,stimulus,NA,32,-2.8773
sub-004_task-N170_eeg,28.2920,0.3000,28972,stimulus,NA,33,-2.0756
sub-004_task-N170_eeg,31.3408,0.3000,32094,stimulus,NA,73,0.8981
sub-004_task-N170_eeg,32.8730,0.3000,33663,stimulus,NA,12,-3.6849
sub-004_task-N170_eeg,34.3066,0.3000,35131,stimulus,NA,14,-3.9060
sub-004_task-N170_eeg,38.6543,0.3000,39583,stimulus,NA,13,7.2204
sub-004_task-N170_eeg,43.2363,0.3000,44275,stimulus,NA,23,-12.1720
sub-004_task-N170_eeg,47.8848,0.3000,49035,stimulus,NA,47,-1.5658
sub-004_task-N170_eeg,49.2842,0.3000,50468,stimulus,NA,72,3.5453
sub-004_task-N170_eeg,52.3662,0.3000,53624,stimulus,NA,49,-12.6535
sub-004_task-N170_eeg,56.7148,0.3000,58077,stimulus,NA,55,10.8391
sub-004_task-N170_eeg,58.1807,0.3000,59578,stimulus,NA,61,-0.8440
sub-004_task-N170_eeg,59.7305,0.3000,61165,stimulus,NA,67,8.7436
sub-004_task-N170_eeg,61.2461,0.3000,62717,stimulus,NA,30,-1.2919
sub-004_task-N170_eeg,65.8281,0.3000,67409,stimulus,NA,62,2.3605
sub-004_task-N170_eeg,75.0586,0.3000,76861,stimulus,NA,4,-2.4360
sub-004_task-N170_eeg,76.5078,0.3000,78345,stimulus,NA,70,1.7796
sub-004_task-N170_eeg,77.9902,0.3000,79863,stimulus,NA,64,3.7372
sub-004_task-N170_eeg,79.5234,0.3000,81433,stimulus,NA,38,-0.3367
sub-004_task-N170_eeg,82.3721,0.3000,84350,stimulus,NA,29,-6.5135
sub-004_task-N170_eeg,83.7715,0.3000,85783,stimulus,NA,80,6.1433
sub-004_task-N170_eeg,86.8379,0.3000,88923,stimulus,NA,45,-6.6255
sub-004_task-N170_eeg,91.2363,0.3000,93427,stimulus,NA,56,3.8545
sub-004_task-N170_eeg,92.7188,0.3000,94945,stimulus,NA,25,-4.7760
sub-004_task-N170_eeg,97.3506,0.3000,99688,stimulus,NA,57,-0.5247
sub-004_task-N170_eeg,98.7666,0.3000,101138,stimulus,NA,20,4.1343
sub-004_task-N170_eeg,100.2656,0.3000,102673,stimulus,NA,6,-1.4358
sub-004_task-N170_eeg,103.1650,0.3000,105642,stimulus,NA,5,0.9639
sub-004_task-N170_eeg,107.6465,0.3000,110231,stimulus,NA,11,NA
sub-004_task-N170_eeg,112.1455,0.3000,114838,stimulus,NA,58,4.8076
sub-004_task-N170_eeg,113.6611,0.3000,116390,stimulus,NA,1,-2.8162
sub-004_task-N170_eeg,121.1582,0.3000,124067,stimulus,NA,10,-1.2939
sub-004_task-N170_eeg,122.7080,0.3000,125654,stimulus,NA,63,-0.6728
sub-004_task-N170_eeg,124.1240,0.3000,127104,stimulus,NA,78,3.7664
sub-004_task-N170_eeg,140.8018,0.3000,144182,stimulus,NA,53,10.4470
sub-004_task-N170_eeg,142.2510,0.3000,145666,stimulus,NA,26,2.3734
sub-004_task-N170_eeg,143.7002,0.3000,147150,stimulus,NA,3,4.9711
sub-004_task-N170_eeg,146.7490,0.3000,150272,stimulus,NA,65,1.5518
sub-004_task-N170_eeg,149.7646,0.3000,153360,stimulus,NA,17,2.6737
sub-004_task-N170_eeg,159.0117,0.3000,162829,stimulus,NA,24,-8.7313
sub-004_task-N170_eeg,163.4766,0.3000,167401,stimulus,NA,27,0.6651
sub-004_task-N170_eeg,166.4092,0.3000,170404,stimulus,NA,9,-7.1594
sub-004_task-N170_eeg,167.8252,0.3000,171854,stimulus,NA,69,5.9148
sub-004_task-N170_eeg,169.2412,0.3000,173304,stimulus,NA,50,-0.1054
sub-004_task-N170_eeg,170.6572,0.3000,174754,stimulus,NA,2,-0.9105
sub-004_task-N170_eeg,179.8379,0.3000,184155,stimulus,NA,42,1.1196
sub-004_task-N170_eeg,181.2373,0.3000,185588,stimulus,NA,66,0.7737
sub-004_task-N170_eeg,182.6367,0.3000,187021,stimulus,NA,37,-2.9846
sub-004_task-N170_eeg,187.3018,0.3000,191798,stimulus,NA,46,4.7500
sub-004_task-N170_eeg,188.7842,0.3000,193316,stimulus,NA,18,-4.5285
sub-004_task-N170_eeg,190.3174,0.3000,194886,stimulus,NA,52,-5.4257
sub-004_task-N170_eeg,191.8828,0.3000,196489,stimulus,NA,60,2.3347
sub-004_task-N170_eeg,193.4160,0.3000,198059,stimulus,NA,34,-8.5408
sub-004_task-N170_eeg,194.8818,0.3000,199560,stimulus,NA,16,2.9978
sub-004_task-N170_eeg,197.9648,0.3000,202717,stimulus,NA,71,9.9055
sub-004_task-N170_eeg,208.2607,0.3000,213260,stimulus,NA,59,5.0733
sub-004_task-N170_eeg,209.6768,0.3000,214710,stimulus,NA,15,-1.4127
sub-004_task-N170_eeg,212.5928,0.3000,217696,stimulus,NA,77,-4.4655
sub-004_task-N170_eeg,214.0586,0.3000,219197,stimulus,NA,19,-5.1123
sub-004_task-N170_eeg,217.1738,0.3000,222387,stimulus,NA,31,0.5604
sub-004_task-N170_eeg,218.6904,0.3000,223940,stimulus,NA,35,3.7962
sub-004_task-N170_eeg,223.2383,0.3000,228597,stimulus,NA,22,1.7687
sub-004_task-N170_eeg,224.6719,0.3000,230065,stimulus,NA,68,4.2791
sub-004_task-N170_eeg,227.6875,0.3000,233153,stimulus,NA,40,1.4026
sub-004_task-N170_eeg,229.1035,0.3000,234603,stimulus,NA,41,9.1686
sub-004_task-N170_eeg,232.2188,0.3000,237793,stimulus,NA,7,1.9009
sub-004_task-N170_eeg,235.3174,0.3000,240966,stimulus,NA,15,-1.9579
sub-004_task-N170_eeg,236.8506,0.3000,242536,stimulus,NA,22,-5.8601
sub-004_task-N170_eeg,238.4170,0.3000,244140,stimulus,NA,18,-0.6816
sub-004_task-N170_eeg,244.4814,0.3000,250350,stimulus,NA,31,-2.3901
sub-004_task-N170_eeg,246.0635,0.3000,251970,stimulus,NA,38,-10.0349
sub-004_task-N170_eeg,247.4805,0.3000,253421,stimulus,NA,13,-5.7828
sub-004_task-N170_eeg,248.9961,0.3000,254973,stimulus,NA,74,1.9231
sub-004_task-N170_eeg,254.9941,0.3000,261115,stimulus,NA,17,-1.5629
sub-004_task-N170_eeg,259.5088,0.3000,265738,stimulus,NA,75,5.5973
sub-004_task-N170_eeg,264.1074,0.3000,270447,stimulus,NA,16,-2.5820
sub-004_task-N170_eeg,265.5068,0.3000,271880,stimulus,NA,54,7.4263
sub-004_task-N170_eeg,266.9229,0.3000,273330,stimulus,NA,40,-1.3350
sub-004_task-N170_eeg,298.2617,0.3000,305421,stimulus,NA,5,-5.1909
sub-004_task-N170_eeg,301.3105,0.3000,308543,stimulus,NA,51,-4.8695
sub-004_task-N170_eeg,305.9258,0.3000,313269,stimulus,NA,48,-10.5088
sub-004_task-N170_eeg,313.3398,0.3000,320861,stimulus,NA,44,6.8528
sub-004_task-N170_eeg,319.4541,0.3000,327122,stimulus,NA,43,2.4629
sub-004_task-N170_eeg,323.9697,0.3000,331746,stimulus,NA,53,-1.2268
sub-004_task-N170_eeg,325.4189,0.3000,333230,stimulus,NA,39,2.8518
sub-004_task-N170_eeg,328.3848,0.3000,336267,stimulus,NA,3,-5.7393
sub-004_task-N170_eeg,331.2832,0.3000,339235,stimulus,NA,71,-4.5492
sub-004_task-N170_eeg,332.7666,0.3000,340754,stimulus,NA,76,1.2584
sub-004_task-N170_eeg,337.1650,0.3000,345258,stimulus,NA,28,-4.5421
sub-004_task-N170_eeg,345.8779,0.3000,354180,stimulus,NA,27,NA
sub-004_task-N170_eeg,347.3613,0.3000,355699,stimulus,NA,35,NA
sub-004_task-N170_eeg,350.4600,0.3000,358872,stimulus,NA,21,NA
sub-004_task-N170_eeg,351.8926,0.3000,360339,stimulus,NA,14,3.6784
sub-004_task-N170_eeg,398.8760,0.3000,408450,stimulus,NA,36,-3.2236
sub-004_task-N170_eeg,400.3252,0.3000,409934,stimulus,NA,70,-0.9156
sub-004_task-N170_eeg,401.7578,0.3000,411401,stimulus,NA,56,6.3005
sub-004_task-N170_eeg,406.2236,0.3000,415974,stimulus,NA,73,-2.1710
sub-004_task-N170_eeg,407.7227,0.3000,417509,stimulus,NA,74,0.7019
sub-004_task-N170_eeg,412.2881,0.3000,422184,stimulus,NA,47,0.3720
sub-004_task-N170_eeg,415.2539,0.3000,425221,stimulus,NA,67,1.6881
sub-004_task-N170_eeg,416.7695,0.3000,426773,stimulus,NA,78,2.8743
sub-004_task-N170_eeg,418.3193,0.3000,428360,stimulus,NA,34,5.4635
sub-004_task-N170_eeg,419.8848,0.3000,429963,stimulus,NA,59,0.2152
sub-004_task-N170_eeg,421.4844,0.3000,431601,stimulus,NA,19,-4.1121
sub-004_task-N170_eeg,423.0508,0.3000,433205,stimulus,NA,7,-6.6542
sub-004_task-N170_eeg,424.5830,0.3000,434774,stimulus,NA,2,4.6680
sub-004_task-N170_eeg,426.0664,0.3000,436293,stimulus,NA,10,6.1263
sub-004_task-N170_eeg,429.0654,0.3000,439364,stimulus,NA,6,-8.5088
sub-004_task-N170_eeg,430.5645,0.3000,440899,stimulus,NA,60,-12.8880
sub-004_task-N170_eeg,433.5303,0.3000,443936,stimulus,NA,45,5.8587
sub-004_task-N170_eeg,438.0283,0.3000,448542,stimulus,NA,55,3.3303
sub-004_task-N170_eeg,440.9941,0.3000,451579,stimulus,NA,72,2.2204
sub-004_task-N170_eeg,443.8936,0.3000,454548,stimulus,NA,25,2.1420
sub-004_task-N170_eeg,451.5742,0.3000,462413,stimulus,NA,9,6.3915
sub-004_task-N170_eeg,453.1230,0.3000,463999,stimulus,NA,57,-0.9522
sub-004_task-N170_eeg,456.2559,0.3000,467207,stimulus,NA,77,1.6133
sub-004_task-N170_eeg,476.6816,0.3000,488123,stimulus,NA,42,8.2011
sub-004_task-N170_eeg,478.0977,0.3000,489573,stimulus,NA,62,-3.4979
sub-004_task-N170_eeg,480.8965,0.3000,492439,stimulus,NA,48,5.7003
sub-004_task-N170_eeg,485.5117,0.3000,497165,stimulus,NA,44,-1.3007
sub-004_task-N170_eeg,491.6426,0.3000,503443,stimulus,NA,32,2.6526
sub-004_task-N170_eeg,496.1914,0.3000,508101,stimulus,NA,20,-2.8106
sub-004_task-N170_eeg,497.7402,0.3000,509687,stimulus,NA,66,6.8178
sub-004_task-N170_eeg,499.3066,0.3000,511291,stimulus,NA,1,1.6117
sub-004_task-N170_eeg,505.3047,0.3000,517433,stimulus,NA,30,0.4332
sub-004_task-N170_eeg,508.2373,0.3000,520436,stimulus,NA,24,-1.7324
sub-004_task-N170_eeg,509.7529,0.3000,521988,stimulus,NA,79,-11.3251
sub-004_task-N170_eeg,514.2178,0.3000,526560,stimulus,NA,41,0.3144
sub-004_task-N170_eeg,515.6514,0.3000,528028,stimulus,NA,4,-1.2648
sub-004_task-N170_eeg,518.6494,0.3000,531098,stimulus,NA,49,2.3333
sub-004_task-N170_eeg,526.1143,0.3000,538742,stimulus,NA,68,5.5865
sub-004_task-N170_eeg,530.6455,0.3000,543382,stimulus,NA,51,8.1523
sub-004_task-N170_eeg,532.0615,0.3000,544832,stimulus,NA,29,-1.0221
sub-004_task-N170_eeg,533.5449,0.3000,546351,stimulus,NA,61,0.2468
sub-004_task-N170_eeg,569.3320,0.3000,582997,stimulus,NA,63,-4.5881
sub-004_task-N170_eeg,570.7480,0.3000,584447,stimulus,NA,52,6.9219
sub-004_task-N170_eeg,572.2979,0.3000,586034,stimulus,NA,33,-6.4478
sub-004_task-N170_eeg,573.7139,0.3000,587484,stimulus,NA,75,-0.9987
sub-004_task-N170_eeg,576.7959,0.3000,590640,stimulus,NA,23,2.2868
sub-004_task-N170_eeg,578.3115,0.3000,592192,stimulus,NA,80,-5.3920
sub-004_task-N170_eeg,579.8779,0.3000,593796,stimulus,NA,65,-4.2681
sub-004_task-N170_eeg,581.4443,0.3000,595400,stimulus,NA,58,-2.3375
sub-004_task-N170_eeg,584.4434,0.3000,598471,stimulus,NA,37,26.1404
sub-004_task-N170_eeg,587.3750,0.3000,601473,stimulus,NA,54,-5.8908
sub-004_task-N170_eeg,588.8418,0.3000,602975,stimulus,NA,12,-5.7356
sub-004_task-N170_eeg,590.4238,0.3000,604595,stimulus,NA,11,3.6218
sub-004_task-N170_eeg,596.2891,0.3000,610601,stimulus,NA,8,-4.5524
sub-004_task-N170_eeg,600.7539,0.3000,615173,stimulus,NA,69,-1.5018
sub-004_task-N170_eeg,608.5010,0.3000,623106,stimulus,NA,43,-1.9977
sub-004_task-N170_eeg,616.0322,0.3000,630818,stimulus,NA,46,3.5417
sub-004_task-N170_eeg,617.5312,0.3000,632353,stimulus,NA,50,-4.3594
sub-004_task-N170_eeg,620.5303,0.3000,635424,stimulus,NA,64,-1.7441
sub-004_task-N170_eeg,623.4961,0.3000,638461,stimulus,NA,26,2.5181
